64,93,12,14,0
83,92,29,19,0
83,63,21,26,0
75,87,50,24,0
95,85,27,0,0
99,90,38,14,0
85,91,0,15,0
63,87,44,11,0
97,83,31,1,0
61,86,13,36,0
71,91,39,4,0
66,60,30,11,0
91,79,38,19,0
85,57,13,30,0
95,81,27,39,0
69,100,2,19,0
90,67,34,2,0
85,95,13,38,0
58,93,24,18,0
70,74,47,27,0
92,78,40,31,0
75,50,43,25,0
89,87,2,4,0
78,68,50,18,0
77,88,44,23,0
58,80,3,33,0
82,59,4,32,0
54,51,0,27,0
66,93,27,23,0
56,66,0,9,0
63,84,33,0,0
93,92,23,0,0
68,97,26,15,0
83,99,43,21,0
73,81,32,22,0
70,71,17,34,0
96,84,32,0,0
53,77,38,2,0
92,95,28,15,0
75,98,16,4,0
68,60,19,2,0
95,82,4,21,0
56,86,50,26,0
56,86,41,26,0
90,91,42,18,0
63,87,49,37,0
90,98,28,40,0
88,56,44,21,0
68,84,5,29,0
92,63,28,27,0
88,71,7,16,0
77,92,33,12,0
76,77,30,35,0
65,51,24,34,0
51,78,21,28,0
63,82,15,24,0
74,70,15,1,0
75,93,7,1,0
70,85,46,20,0
91,73,28,6,0
73,89,15,39,0
53,99,10,4,0
75,99,24,13,0
50,83,7,16,0
74,90,15,26,0
51,91,49,5,0
71,87,40,22,0
61,85,4,2,0
76,52,39,37,0
71,99,7,25,0
89,67,44,34,0
59,90,14,40,0
77,77,5,19,0
80,72,47,27,0
55,63,30,27,0
91,55,17,11,0
67,93,13,24,0
93,56,14,25,0
96,87,29,16,0
75,60,21,35,0
80,93,11,14,0
95,65,24,7,0
61,61,38,10,0
81,65,45,13,0
52,99,31,35,0
88,68,19,24,0
74,69,50,28,0
67,96,21,39,0
76,83,23,33,0
70,84,48,14,0
86,61,39,27,0
71,52,13,24,0
79,67,38,25,0
55,64,38,19,0
65,52,45,8,0
73,74,41,8,0
92,58,13,29,0
66,77,21,26,0
95,66,5,37,0
56,62,7,10,0
80,58,9,21,0
100,58,38,32,0
75,58,21,31,0
66,61,42,10,0
70,70,2,13,0
78,94,16,7,0
56,88,23,30,0
65,90,25,16,0
100,60,50,38,0
96,92,36,38,0
95,72,8,26,0
52,93,21,31,0
65,99,44,33,0
76,81,20,14,0
84,59,10,25,0
52,70,36,16,0
85,77,19,37,0
90,57,49,31,0
96,93,44,38,0
75,66,34,5,0
52,61,11,14,0
96,85,12,37,0
64,99,43,27,0
78,51,27,38,0
57,73,24,27,0
83,64,19,22,0
59,92,12,20,0
50,71,0,36,0
98,92,40,1,0
89,67,25,36,0
81,92,20,36,0
59,73,36,36,0
79,73,43,11,0
62,82,6,2,0
57,61,33,17,0
76,67,10,36,0
71,77,45,34,0
72,69,20,31,0
100,64,13,23,0
77,72,29,22,0
73,75,27,40,0
89,90,10,25,0
76,71,45,36,0
88,51,22,28,0
78,86,25,25,0
58,87,32,2,0
50,53,20,21,0
98,81,23,9,0
61,60,20,11,0
55,54,37,37,0
98,63,14,29,0
95,100,26,14,0
71,88,4,9,0
88,56,11,27,0
54,52,24,21,0
98,75,35,39,0
86,62,46,20,0
97,66,48,17,0
80,70,50,38,0
86,68,48,18,0
82,93,21,8,0
55,96,8,35,0
64,74,1,21,0
56,64,11,38,0
74,100,7,26,0
97,52,41,7,0
87,58,21,8,0
51,99,3,18,0
67,90,41,9,0
60,97,15,8,0
83,83,14,40,0
86,83,30,12,0
61,86,41,32,0
69,64,18,18,0
64,97,32,26,0
79,56,6,16,0
59,68,5,40,0
98,60,12,9,0
90,51,36,11,0
59,70,42,19,0
87,91,1,35,0
51,72,15,13,0
64,83,16,36,0
66,58,5,24,0
70,74,17,11,0
88,89,17,22,0
90,56,40,35,0
96,86,36,21,0
86,74,26,26,0
70,71,40,37,0
69,58,23,36,0
71,74,11,34,0
76,61,2,1,0
84,88,10,33,0
80,90,10,17,0
97,69,44,4,0
50,64,45,24,0
90,94,23,0,0
77,96,30,21,0
81,51,49,24,0
73,84,17,1,0
89,70,50,33,0
80,67,50,33,0
69,85,25,3,0
64,69,39,8,0
63,72,36,36,0
70,73,28,26,0
56,89,27,27,0
84,82,44,29,0
72,52,26,22,0
68,65,2,40,0
81,61,48,22,0
58,86,3,9,0
50,83,24,0,0
96,52,18,37,0
63,61,1,14,0
76,60,45,2,0
61,62,28,17,0
56,77,9,19,0
88,75,50,30,0
98,60,22,16,0
54,80,18,5,0
73,80,25,4,0
100,85,33,19,0
93,70,1,34,0
70,65,16,31,0
59,72,2,11,0
50,71,48,5,0
95,63,30,4,0
87,55,42,35,0
50,75,25,29,0
68,74,44,33,0
98,94,12,40,0
52,88,16,18,0
59,61,36,17,0
81,50,23,30,0
66,65,0,3,0
59,64,23,39,0
61,71,5,9,0
97,71,33,31,0
68,50,8,33,0
81,62,42,7,0
50,87,48,19,0
92,96,1,33,0
78,76,3,18,0
84,80,29,24,0
57,61,25,9,0
78,50,49,20,0
55,99,20,2,0
96,98,7,9,0
70,52,20,9,0
76,55,33,30,0
87,82,4,11,0
62,72,32,21,0
92,65,32,9,0
79,75,35,20,0
97,94,48,10,0
67,55,19,30,0
94,58,40,7,0
94,72,12,27,0
74,65,10,34,0
68,98,27,4,0
59,66,50,33,0
53,52,34,2,0
69,71,3,36,0
69,56,41,1,0
98,67,48,2,0
52,66,13,29,0
77,97,18,12,0
91,82,45,31,0
54,90,15,3,0
53,92,28,23,0
50,57,14,29,0
55,77,45,11,0
66,75,4,6,0
72,94,35,1,0
59,61,2,30,0
93,97,3,4,0
90,82,24,24,0
98,82,17,21,0
92,81,27,21,0
79,59,4,14,0
52,92,14,29,0
74,66,26,13,0
100,99,40,6,0
55,99,5,19,0
89,57,10,13,0
80,84,28,10,0
76,75,9,29,0
70,52,33,33,0
92,53,27,5,0
68,58,29,20,0
68,84,47,39,0
